Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT. Jfood Group Indonesia,IT Support Specialist (Mandarin Speaker),Support / Helpdesk / IT Ops,Jakarta Utara,15000000,[],Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,Digital Development Manager,Other,Jakarta Pusat,,"['agile', 'css', 'html', 'javascript', 'jira', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT GLOBAL LOYALTY INDONESIA,System Analyst,Business / System Analyst,Tangerang,,['sql'],Tidak Disebutkan,kontrak/temporer,Banten
PT. Gree Electric Appliances Indonesia,IT Product Specialist Mandarin,Other,Jakarta Utara,,"['agile', 'scrum', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Pasifik Global Integrasi,Governance Risk and Compliance IT Security,Security / Cybersecurity,Jakarta Selatan,,['cybersecurity'],Diploma,full time,DKI Jakarta
PT Ako Media Asia,Head of Cyber Security,Security / Cybersecurity,Jakarta Barat,,"['aws', 'azure', 'cybersecurity', 'google cloud', 'penetration testing']",S1,kontrak/temporer,DKI Jakarta
PT Bank SBI Indonesia,Cyber Security Officer,Security / Cybersecurity,Jakarta Pusat,,['penetration testing'],S1,full time,DKI Jakarta
PT Phincon,QA Automation Engineer,QA / Tester,Bandung,10500000,"['agile', 'mysql']",Tidak Disebutkan,full time,Jawa Barat
PT Hotel Murah Travelindo,Software Engineer,Other,Jakarta Raya,8500000,"['agile', 'angular', 'go', 'git', 'javascript', 'laravel', 'php', 'react', 'scrum', 'sql', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT Sarwa Manggalla Raya,DATA ANALYST SUPERVISOR,Data / AI,Jakarta Utara,,"['mysql', 'power bi', 'python']",S1,full time,DKI Jakarta
PT ZTE Indonesia,DRA&STP Technical Engineer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Pangan Lestari,IT Digital Transformation Manager,Other,Surabaya,,['cybersecurity'],S1,full time,Jawa Timur
COINUT PTE LTD,QA Automation Engineer,QA / Tester,Jakarta Raya(Jarak jauh),11500000,"['java', 'javascript', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT SAS Kreasindo Utama,Business Analyst ERP STAFF ( Odoo Fungtional),Business / System Analyst,Tegal,,['sql'],Diploma,full time,Jawa Tengah
PT SYSTEX ASIA INDONESIA,Network Engineer,Network / Infra / SysAdmin,Jakarta Selatan,,"['networking', 'tcp/ip']",S1,full time,DKI Jakarta
PT Intergastra Nusantara,IT Staff,Support / Helpdesk / IT Ops,Jakarta Raya,,['excel'],Diploma,full time,DKI Jakarta
PT Nusantara Compnet Integrator,Onsite Engineer CCNP - Project Based,Other,Jakarta Raya,,"['networking', 'tcp/ip']",S1,kontrak/temporer,DKI Jakarta
PT Erela,IT Document Administrator (Semarang),Other,Semarang,,[],S1,full time,Jawa Tengah
PT. Adatama Teknologi Indonesia,Systems Backend Engineer (Rust) – Real-Time Financial Systems,Backend Engineer,South Tangerang,25000000,"['aws', 'docker']",Tidak Disebutkan,full time,Banten
PT Nawa Data Solutions,Java Developer,Backend Engineer,Jakarta Selatan,,"['agile', 'java']",S1,kontrak/temporer,DKI Jakarta
PT Xumei Food Tech Indonesia,Microsoft Dynamics (Power Platform) Developer,ERP / SAP / Odoo / Dynamics,Jakarta Barat,,['javascript'],S1,full time,DKI Jakarta
PT Holink Solusi Digital,PRODUCT MANAGER,Product / Project / Scrum,Jakarta Utara,21500000,"['excel', 'jira', 'sql', 'tableau']",S1,full time,DKI Jakarta
IDS Medical Systems Group,Strategic Business Analyst  战略业务分析师,Business / System Analyst,Jakarta Barat,,['excel'],S1,full time,DKI Jakarta
PT Harrisma Informatika Jaya,"Presales / Technical Consultant Video Wall / Tron, IFP, Smart & Signage Display",Sales / Presales / Solution,Jakarta Barat,12500000,['go'],Tidak Disebutkan,full time,DKI Jakarta
PT Chandra Asri Pacific Tbk,Wastewater Treatment Operation Engineer,Other,Cilegon,,[],S1,full time,Banten
PT BANGUNPERKASA  ADHITAMASENTRA,Product Owner (B2B),Product / Project / Scrum,Jakarta Barat,,"['agile', 'jira', 'scrum', 'ui/ux']",Diploma,full time,DKI Jakarta
PT Perangkat Lunak Indonesia,Java (Spring Boot) Developer,Backend Engineer,Jakarta Utara,8000000,"['angular', 'css', 'html', 'java', 'javascript', 'react', 'spring boot', 'sql', 'vue']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Trust Recruit Indonesia,Customer Solutions Engineer,Other,Jakarta Raya,,"['iot', 'linux', 'networking']",Diploma,full time,DKI Jakarta
Halo Robotics,System Administrator (SysAdmin),Network / Infra / SysAdmin,Jakarta Selatan,15000000,"['docker', 'linux', 'networking', 'tcp/ip']",S1,full time,DKI Jakarta
"PT SMART,Tbk",Senior AI Engineer,Data / AI,Jakarta Raya,,"['deep learning', 'machine learning', 'python']",S1,full time,DKI Jakarta
Terra Link Technologies,IT Security and Infrastructure (Must Korean Speaker),Security / Cybersecurity,Jakarta Selatan,12500000,"['aws', 'azure', 'linux']",Tidak Disebutkan,full time,DKI Jakarta
PT Cygnet Pericon,IT Consultant,Sales / Presales / Solution,Jakarta Selatan,,['sql'],Diploma,full time,DKI Jakarta
AVANADE ASIA PTE LTD,AI Engineer,Data / AI,Jakarta Pusat,,"['aws', 'azure', 'deep learning', 'docker', 'git', 'kubernetes', 'machine learning', 'power bi', 'python', 'pytorch', 'tensorflow']",Tidak Disebutkan,full time,DKI Jakarta
Coding Bee Academy,Part-Time IT,Other,Jakarta Raya(Hibrid),,"['css', 'html', 'laravel', 'ui/ux']",Tidak Disebutkan,paruh waktu,DKI Jakarta
PT ICP Cipta Prima,Backend Developer,Backend Engineer,Sleman,7000000,"['git', 'laravel', 'linux', 'mysql', 'php', 'sql']",Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
PT. Amalura Multi Dimensi,ETL Developer (Onsite Yogya),Data / AI,Sleman,10500000,"['aws', 'azure', 'oracle', 'postgresql', 'python', 'sql']",S1,kontrak/temporer,DI Yogyakarta
Inovasi Solusi Internasional,Junior Programmer,Other,Jakarta Pusat,,"['css', 'git', 'html', 'javascript']",Tidak Disebutkan,full time,DKI Jakarta
PT Blue Ocean Heart,Assistant Manager (Mandarin Speaker),Other,Surabaya,8000000,['excel'],S1,kontrak/temporer,Jawa Timur
PT. Solusi Jasa Teknologi,IT Service Desk,Support / Helpdesk / IT Ops,Bogor,,"['excel', 'networking', 'tcp/ip']",S1,full time,Jawa Barat
PT Trinusa Travelindo,Software Backend Engineer,Backend Engineer,Jakarta Raya,,"['go', 'java', 'python']",S1,full time,DKI Jakarta
ZAP Clinic (PT. Zulu Alpha Papa),Project Assistant,Other,Jakarta Raya,,"['go', 'oracle']",S1,kontrak/temporer,DKI Jakarta
PT Ciptakom Media Nusa,Laravel Fullstack Developer,Backend Engineer,Jakarta Barat,7500000,"['css', 'git', 'html', 'javascript', 'laravel', 'php', 'sql']",Diploma,full time,DKI Jakarta
PT TEKNOLOGI ANGKASA MAKMUR ABADI,IT Support Network,Network / Infra / SysAdmin,Jakarta Raya,6750000,['linux'],Tidak Disebutkan,full time,DKI Jakarta
PT Artha Solutions Indonesia,Tier 2 Support Engineer (Korean Speaker),Support / Helpdesk / IT Ops,Jakarta Raya,,"['cybersecurity', 'linux']",Tidak Disebutkan,full time,DKI Jakarta
PT. Wide Technologies Indonesia,Senior System Engineer (Banking Background),Other,Jakarta Selatan,,"['aws', 'azure', 'linux', 'networking']",S1,full time,DKI Jakarta
Pengiklan Anonim,FULLSTACK DEVELOPER (PHP|LARAVEL),Backend Engineer,Kabupaten Malang,,"['agile', 'aws', 'git', 'javascript', 'laravel', 'mysql', 'php', 'react', 'scrum', 'ui/ux', 'vue']",Tidak Disebutkan,full time,Jawa Timur
PT Mandjur Sehat Abadi,JUNIOR IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Pusat,,['linux'],S1,full time,DKI Jakarta
Next TI,AI Solution Engineer,Data / AI,Jakarta Selatan,,"['aws', 'java', 'node.js', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT Revo Solusindo,AI Applied Engineer  — Backend & GenAI Systems,Backend Engineer,Jakarta Raya,,"['docker', 'mongodb', 'python', 'react', 'redis']",S1,kontrak/temporer,DKI Jakarta
PT Media Wave Interaktif,Quality Assurance,QA / Tester,Jakarta Selatan,,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Cyber Xpert Nusantara,Technical Assessor - Cybersecurity & Digital Forensic Specialist,Security / Cybersecurity,Jakarta Barat,17000000,"['cybersecurity', 'penetration testing']",S1,full time,DKI Jakarta
PT Lucky Indah Keramik,IT MANAGER,Other,Jakarta Pusat,,['sql'],S1,kasual,DKI Jakarta
"PT. Zyrexindo Mandiri Buana, Tbk",IT Support/Network Support,Network / Infra / SysAdmin,Jakarta Barat,,"['linux', 'tcp/ip']",Diploma,full time,DKI Jakarta
PT Bumi Bandara Indah,IT Support dan Admin Officer,Support / Helpdesk / IT Ops,Jakarta Raya,,"['linux', 'tcp/ip']",Tidak Disebutkan,full time,DKI Jakarta
Halo Robotics,Product Manager - Surveillance AI Systems,Data / AI,Jakarta Selatan,15000000,"['go', 'networking']",S1,full time,DKI Jakarta
PT ZTE Indonesia,5G Technical Director,Other,Jakarta Raya,,['c'],S1,full time,DKI Jakarta
PT Azurr Kilau Abadi,Data & Business Analyst (Entry Level),Data / AI,Jakarta Selatan,7000000,['excel'],S1,kontrak/temporer,DKI Jakarta
PT Graha Sumber Prima Elektronik,Junior Mechatronics Engineer (IoT & Robotics Support),Support / Helpdesk / IT Ops,Jakarta Raya,,"['arduino', 'c', 'c++', 'iot', 'python', 'raspberry pi']",S1,full time,DKI Jakarta
PT Gajah Agung Mandiri,Senior Front End Developer - Experienced,Frontend Engineer,Jakarta Pusat,11000000,"['android', 'css', 'git', 'html', 'ios', 'java', 'kotlin', 'react', 'react native', 'swift']",S1,full time,DKI Jakarta
PT Asuransi Multi Artha Guna Tbk,AMAG Graduated Program (Management Trainee),Other,Jakarta Raya,,['agile'],Tidak Disebutkan,full time,DKI Jakarta
PT Energi Kreasi Bersama,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['aws', 'azure', 'docker', 'go', 'google cloud', 'iot', 'kubernetes', 'networking', 'python', 'terraform']",S1,full time,DKI Jakarta
PT. Lintas Teknologi Indonesia,Network   Security Engineer (L2)  for SOC Project,Security / Cybersecurity,Jakarta Raya,,"['networking', 'tcp/ip']",Tidak Disebutkan,full time,DKI Jakarta
PT Vita Shopindo,Full Stack Developer,Fullstack Engineer,Jakarta Barat,,"['laravel', 'linux', 'mysql', 'php', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
IDS Medical Systems Group,Senior Specialist - Application Support (D365),Support / Helpdesk / IT Ops,Jakarta Raya,,"['android', 'ios', 'power bi', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Karisma Zona Kreatifku,Automation Engineer (Fullstack .NET ),Fullstack Engineer,Jakarta Selatan,13500000,"['.net', 'javascript', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Indomobil Finance Indonesia,IT Security Analyst,Security / Cybersecurity,Jakarta Raya,,['tcp/ip'],S1,full time,DKI Jakarta
PT COBAS PERKAKAS JAYA,Product Specialist IT,Other,Jakarta Barat,,['networking'],Diploma,full time,DKI Jakarta
PT Mitrais,Senior Golang Developers,Backend Engineer,Jakarta Raya(Hibrid),,"['agile', 'aws', 'docker', 'go', 'golang', 'jenkins', 'mysql', 'php', 'redis']",Tidak Disebutkan,full time,DKI Jakarta
PT JAC Consulting Indonesia,IT Staff/Help Desk,Support / Helpdesk / IT Ops,Jakarta Raya,8500000,[],S1,kontrak/temporer,DKI Jakarta
PT Bahari Eka Nusantara (Ben Line Agencies),"IT Architect, Cloud & Networking Manager",DevOps / Cloud / SRE,Jakarta Raya(Hibrid),,"['azure', 'networking', 'terraform']",S1,full time,DKI Jakarta
PT Trinusa Travelindo,Backend Infrastructure Engineer,Backend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT. INTISUMBER BAJASAKTI,IT Functional,Other,Jakarta Utara,10000000,"['excel', 'machine learning', 'sql']",S1,full time,DKI Jakarta
PT Phincon,.Net Developer,Other,Jakarta Raya,8000000,"['.net', 'angular', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT CreateIT Solution Indonesia,Senior AWS DevOps Engineer,DevOps / Cloud / SRE,Tangerang,,"['aws', 'azure', 'typescript']",Tidak Disebutkan,kontrak/temporer,Banten
Orang Tua Group,Sales Data Analyst,Data / AI,Jakarta Raya,,['sql'],S1,full time,DKI Jakarta
PT Cipta Pernika Nusantara,IT Help Desk,Other,Jakarta Selatan,6000000,[],Tidak Disebutkan,full time,DKI Jakarta
Google,"AI Sales Specialist, Google Cloud",Data / AI,Jakarta Raya,,"['go', 'google cloud']",S1,full time,DKI Jakarta
ATech Solution,Senior Software Engineer / Tech Lead - Backend Java or Fullstack - Full Remote,Backend Engineer,Jakarta Raya(Jarak jauh),,"['.net', 'aws', 'java', 'mysql', 'react', 'react native', 'spring boot']",S1,full time,DKI Jakarta
PT Harapan Sukses Jaya (HSJ),IT System Admin,Other,Jakarta Barat,5000000,"['aws', 'azure', 'docker', 'kubernetes', 'linux', 'python']",S1,full time,DKI Jakarta
CSG International Sdn. Bhd.,Senior Frontend Engineer,Frontend Engineer,Jakarta Raya(Jarak jauh),,"['angular', 'css', 'html', 'javascript', 'react', 'scrum', 'ui/ux', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT Lawencon Internasional,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['agile', 'aws', 'docker', 'git', 'google cloud', 'jenkins', 'kubernetes', 'linux', 'mongodb', 'python', 'sql', 'terraform']",Diploma,full time,DKI Jakarta
PT Berkah Kawasan Manyar Sejahtera,IT SUPPORT for AUTOGATE SYSTEM,Support / Helpdesk / IT Ops,Gresik,,['java'],S1,full time,Jawa Timur
PT. PERSOLKELLY Recruitment Indonesia,Solution Engineer - WFO Jakarta (ID: 693727),Sales / Presales / Solution,Jakarta Pusat,,"['azure', 'cybersecurity', 'docker', 'kubernetes', 'networking']",S1,kontrak/temporer,DKI Jakarta
PT Avows Technologies,Java Developer (Quarkus),Backend Engineer,Jakarta Selatan,11000000,"['docker', 'java', 'kubernetes', 'mongodb', 'oracle', 'postgresql', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Gandum Mas Kencana,Commercial Data Analyst Manager,Data / AI,South Tangerang,,"['power bi', 'sql', 'tableau']",Tidak Disebutkan,full time,Banten
PT Prudential Life Assurance,Apprenticeship - Production Support Automation,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['linux', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT PRIME AGRI RESOURCES Tbk,SAP ABAP Developer,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Microvac Indonesia,Full Stack Programmer,Fullstack Engineer,Jakarta Raya,7200000,"['.net', 'angular', 'c', 'c#', 'css', 'docker', 'html', 'javascript', 'kubernetes', 'sql', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
GRAB,"Senior Software Engineer, Backend - Consumer Experience",Backend Engineer,Jakarta Selatan,,"['agile', 'android', 'aws', 'c', 'c#', 'c++', 'css', 'flutter', 'go', 'golang', 'ios', 'java', 'javascript', 'jenkins', 'kotlin', 'kubernetes', 'mysql', 'networking', 'node.js', 'php', 'python', 'react', 'redis', 'ruby', 'swift']",Tidak Disebutkan,full time,DKI Jakarta
PT. Heaven Funeral Indonesia,IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Utara,,['linux'],Tidak Disebutkan,full time,DKI Jakarta
TUNTUN SEKURITAS INDONESIA,Senior iOS Developer,Mobile Developer,Jakarta Utara,,"['c', 'ios', 'swift']",S1,full time,DKI Jakarta
ACE ZETA PTE. LTD.,Server and Network Hardware Support Specialist （Great Room and Flexibility Work）,Network / Infra / SysAdmin,Jakarta Raya,8000000,['linux'],Tidak Disebutkan,full time,DKI Jakarta
PT Sinergi Wahana Gemilang,IT Support Mobility,Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,full time,DKI Jakarta
Proworker,ACS dan FIDS Engineer,Other,Jakarta Utara,9000000,[],S1,kontrak/temporer,DKI Jakarta
PT Steel Pipe Industry of Indonesia Tbk,Software Development Specialist,Other,Surabaya,,"['agile', 'docker', 'flutter', 'git', 'linux', 'postgresql', 'python']",S1,full time,Jawa Timur
"PT. Metrodata Electronics, Tbk",Cloud Engineer,DevOps / Cloud / SRE,Jakarta Barat,,"['aws', 'networking']",S1,kontrak/temporer,DKI Jakarta
Pengiklan Anonim,Head of PMO (Telco Industry),Product / Project / Scrum,Jakarta Selatan,,['c'],S1,kontrak/temporer,DKI Jakarta
PT ZTE Indonesia,IP Core engineer,Other,Jakarta Raya,,['tcp/ip'],S1,full time,DKI Jakarta
PT Adibayu Gajah Semakmur,Data Analyst,Data / AI,DI Yogyakarta,,"['excel', 'power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer,DI Yogyakarta
PT EVOLUSI TEKNOLOGI SOLUSI,Software Quality Assurance,QA / Tester,Jakarta Raya,6750000,['agile'],S1,kontrak/temporer,DKI Jakarta
PT Delonix Group Indonesia,Wormhole / Project Officer,Other,Jakarta Barat,,['ui/ux'],Tidak Disebutkan,full time,DKI Jakarta
PT Gameloft Indonesia (Yogyakarta),Full Stack Developer,Fullstack Engineer,Yogyakarta,,"['css', 'git', 'html', 'javascript', 'jira', 'mysql', 'php', 'sql', 'ui/ux']",Tidak Disebutkan,full time,DI Yogyakarta
PT Microvac Indonesia,Devops Engineer,DevOps / Cloud / SRE,Jakarta Timur,7250000,"['docker', 'kubernetes', 'linux', 'postgresql', 'python', 'redis']",Tidak Disebutkan,full time,DKI Jakarta
PT Hashmicro Solusi Indonesia,ERP Consultant International,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['go', 'networking']",S1,full time,DKI Jakarta
PT Hubexo Asia Indonesia,Agile Coach,Product / Project / Scrum,Jakarta Selatan,37500000,"['agile', 'jira', 'scrum']",Tidak Disebutkan,full time,DKI Jakarta
PT Solman Tekno Asia,SAP ABAP Developer,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,8350000,"['agile', 'scrum']",S1,full time,DKI Jakarta
EKA HOSPITAL,Head of IT Infrastructure,Network / Infra / SysAdmin,South Tangerang,,"['aws', 'azure', 'networking']",Tidak Disebutkan,full time,Banten
PT Cahaya Aditama Santoso,IT,Other,Surabaya,5500000,['networking'],Diploma,full time,Jawa Timur
WEBBEDS APAC Pte. Ltd.,Commercial Technology Specialist,Other,Jakarta Raya(Hibrid),8750000,['sql'],Tidak Disebutkan,full time,DKI Jakarta
PT Bawana Margatama,L1 SOC Analyst,Security / Cybersecurity,Jakarta Selatan,7000000,['cybersecurity'],S1,kontrak/temporer,DKI Jakarta
BEEDUCATION ADVENTURES SDN. BHD.,FullStack Developer - NodeJS & Angular (*Position based onsite in Malaysia*),Backend Engineer,Jakarta Raya,22000000,"['angular', 'docker', 'linux', 'mysql', 'node.js', 'redis']",Tidak Disebutkan,full time,DKI Jakarta
CV BERLIAN RETAIL,WEB DEVELOPMENT,Other,Surabaya,4500000,"['css', 'html', 'javascript', 'mysql', 'php']",S1,full time,Jawa Timur
"TRT Shared Services, OPC",IT Field Support Engineer,Support / Helpdesk / IT Ops,Jakarta Barat,44878751,"['networking', 'oracle']",Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,IT Security Specialist,Security / Cybersecurity,Jakarta Selatan,17000000,['cybersecurity'],S1,full time,DKI Jakarta
PRIMA GROUP,IT Application Developer (Payment Switching),Other,Tangerang,,"['c', 'c#', 'flutter', 'java']",S1,full time,Banten
Shopee Internasional Indonesia,Helpdesk Engineer Intern - IT (Yogyakarta),Support / Helpdesk / IT Ops,Yogyakarta,,[],Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
PT Swadharma Duta Data,IT Programmer,Other,Jakarta Pusat,6750000,"['.net', 'agile', 'android', 'c', 'c#', 'c++', 'ios', 'java', 'javascript', 'oracle', 'php', 'react', 'react native', 'sql', 'ui/ux', 'vue']",S1,kontrak/temporer,DKI Jakarta
PT Bimasakti Multi Sinergi,Security Analyst (Threat & Vulnerability),Security / Cybersecurity,Sidoarjo,,[],Diploma,full time,Jawa Timur
PT Indo Online Mitra Usaha (Vox Asia / BraveHub),Managed Services Engineer (Level 2),Other,Bandung,,"['aws', 'azure', 'linux', 'networking', 'python', 'tcp/ip']",Diploma,full time,Jawa Barat
PT. Kredit Utama Fintech Indonesia,Internal Audit (IT),Other,Jakarta Pusat,12500000,[],S1,full time,DKI Jakarta
PT JAC Consulting Indonesia,Business Analyst (Entry Level),Business / System Analyst,Jakarta Raya,7500000,"['excel', 'sql']",S1,full time,DKI Jakarta
PT Indocyber Global Teknologi,React Native Developer,Frontend Engineer,Jakarta Raya,,"['javascript', 'react', 'react native', 'typescript', 'ui/ux']",S1,full time,DKI Jakarta
PT. Lintas Teknologi Indonesia,Database Security Administrator for Integra (Placement in Bandung),Data / AI,Bandung,,"['postgresql', 'sql']",S1,full time,Jawa Barat
PT Pratesis,Product Owner - Internship,Product / Project / Scrum,Jakarta Selatan,,"['agile', 'jira', 'scrum']",Tidak Disebutkan,full time,DKI Jakarta
PT Bank CTBC Indonesia,Cyber Security Engineer,Security / Cybersecurity,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Indodev Niaga Internet,Senior AI Developer,Data / AI,South Tangerang,12500000,"['git', 'nlp']",S1,full time,Banten
PT Bahari Eka Nusantara (Ben Line Agencies),Senior IT Data Analyst,Data / AI,Jakarta Selatan,,"['agile', 'aws', 'azure', 'power bi', 'python', 'scrum', 'sql']",S1,full time,DKI Jakarta
PT Kodenusa Tekno Buana,Full Stack Engineer — Payment Gateway Integration,Fullstack Engineer,Jakarta Raya,7500000,"['git', 'mongodb', 'node.js', 'react']",Tidak Disebutkan,full time,DKI Jakarta
PT Visionet Data Internasional,Oracle Developer,ERP / SAP / Odoo / Dynamics,Tangerang,,"['javascript', 'oracle', 'sql']",Diploma,kontrak/temporer,Banten
Pengiklan Anonim,Data Analyst Fleet,Data / AI,Jakarta Raya,5500000,"['excel', 'power bi', 'tableau']",S1,kontrak/temporer,DKI Jakarta
PT Ako Media Asia,Backend Developer (Golang),Backend Engineer,Jakarta Barat,,"['aws', 'azure', 'c', 'c++', 'docker', 'go', 'git', 'java', 'mysql', 'spring boot', 'sql']",S1,kontrak/temporer,DKI Jakarta
Jasnikom Gemanusa,Senior Sales Oil & Gas,Sales / Presales / Solution,Jakarta Pusat,,['networking'],S1,full time,DKI Jakarta
PT. DCT TOTAL SOLUTIONS,RND Software Engineer,Other,Bekasi,7500000,"['flutter', 'git', 'mongodb', 'mysql', 'node.js', 'postgresql', 'react', 'react native', 'typescript']",Diploma,full time,Jawa Barat
Indofood Group,IT Service Operation,Other,Jakarta Selatan,,"['excel', 'sql']",S1,full time,DKI Jakarta
PT Yokogawa Indonesia,Network Security Engineer,Security / Cybersecurity,Jakarta Selatan,,['tcp/ip'],S1,full time,DKI Jakarta
PT XL Axiata Tbk,Senior DevOps Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['agile', 'angular', 'docker', 'java', 'jenkins', 'kubernetes', 'networking', 'php', 'python', 'react', 'scrum', 'terraform']",S1,full time,DKI Jakarta
PT. Kalbe Farma Tbk. (International Division),IT Programming Internship,Other,Jakarta Timur,,['react'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
"TRT Shared Services, OPC",Global Support Services Engineer,Support / Helpdesk / IT Ops,Jakarta Barat,44875000,"['networking', 'oracle']",Tidak Disebutkan,full time,DKI Jakarta
"PT Tira Austenite, Tbk",IT Supervisor,Other,Jakarta Raya,10000000,"['.net', 'cybersecurity', 'java', 'networking', 'oracle', 'php', 'python', 'sql']",Diploma,full time,DKI Jakarta
PT Indocyber Global Teknologi,Mobile Developer,Mobile Developer,Jakarta Raya,,"['kotlin', 'mysql', 'postgresql']",S1,kontrak/temporer,DKI Jakarta
PT Saptakarsa Prima,Junior IT Support,Support / Helpdesk / IT Ops,Tangerang District,5500000,[],Tidak Disebutkan,full time,Banten
PT Dipo Star Finance,IT Governance,Other,Jakarta Pusat,,[],Tidak Disebutkan,full time,DKI Jakarta
"PT. Bank Mega, Tbk",Management Information System Specialist Front End Developer,Frontend Engineer,Jakarta Raya,,"['git', 'javascript', 'react']",S1,full time,DKI Jakarta
PT Home Credit Indonesia,Senior Cloud Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['azure', 'kubernetes', 'linux', 'redis', 'sql']",S1,full time,DKI Jakarta
PT. Kanemory Food Service,Staff IT/GA,Other,Serang,5450000,[],S1,kontrak/temporer,Banten
PT Autoline Jaya Motor,Head IT Progammer,Other,Jakarta Barat,,"['.net', 'sql']",Diploma,kontrak/temporer,DKI Jakarta
PT Intergastra Nusantara,IT Developer,Other,Jakarta Pusat,,"['.net', 'c', 'c#', 'css', 'html', 'javascript', 'node.js', 'python']",Diploma,full time,DKI Jakarta
PT Petrolink Services Indonesia,Web Developer,Other,Jakarta Raya(Hibrid),,"['.net', 'agile', 'angular', 'c', 'c#', 'css', 'html', 'react']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
VIRTUAL PROPERTI PLUS,IT Functional Consultant,Sales / Presales / Solution,Jakarta Raya,5500000,['sql'],S1,full time,DKI Jakarta
PT Profescipta Wahanatehnik,Application Engineer Supervisor (.NET),Other,Jakarta Timur,13500000,"['.net', 'linux', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
AVANADE ASIA PTE LTD,"Consulting - Associate Manager / Manager - Digital Strategy, Xperience (UX), AI",Frontend Engineer,Jakarta Pusat,,"['azure', 'c']",S1,full time,DKI Jakarta
Midea Electronics Indonesia,Digital Transformation Specialist,Other,Jakarta Pusat,18500000,['cybersecurity'],S1,full time,DKI Jakarta
PT Hitachi eBworx Indonesia,IT JAVA Programmer (Senior),Backend Engineer,Jakarta Pusat,,"['java', 'oracle', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT. Kredit Utama Fintech Indonesia,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Pusat,,"['aws', 'docker', 'jenkins', 'kubernetes', 'linux', 'networking', 'terraform']",S1,full time,DKI Jakarta
Jakarta Intercultural School,Technical Support Specialist,Support / Helpdesk / IT Ops,Jakarta Selatan,,['ios'],S1,kontrak/temporer,DKI Jakarta
PT. Berkat Maritim Abadi,Senior IT,Other,Jakarta Utara,,"['excel', 'linux', 'mysql', 'networking', 'postgresql', 'python', 'sql', 'tcp/ip']",S1,full time,DKI Jakarta
PT Nusantara Compnet Integrator,Onsite Security Engineer (Red & Blue Team),Security / Cybersecurity,Jakarta Raya,,"['cybersecurity', 'penetration testing']",S1,kontrak/temporer,DKI Jakarta
PT. Amalura Multi Dimensi,QA Engineer (onsite at Yogya),QA / Tester,Yogyakarta,5000000,['azure'],S1,kontrak/temporer,DI Yogyakarta
PT Multi Guna Maritim,Quality Assurance & Internal System Support,QA / Tester,Jakarta Barat,,"['go', 'git', 'javascript', 'php', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Anabatic Technologies,Project Management Officer (IT / Payroll / Operation MPHRO / Call Center),Other,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT Inertia Utama (Member of Dexa Group),Oracle Functional,ERP / SAP / Odoo / Dynamics,South Tangerang,,"['agile', 'oracle', 'scrum']",S1,full time,Banten
